text,type
"không có sẵn",0
"cần phải",0
"xử lý",0
"đơn hàng",0
"chốt đơn",0
"thông tin",0
"bộ phận",0
"giao hàng",0
"hóa đơn",0
"đề nghị",0
"giấy tờ",0
"kèm theo",0
"hỗ trợ",0
"tiếp nhận",0
"Kỹ thuật",0
"hỗ trợ kỹ thuật",0
"bảo hàng",0
"đổi trả",0
"đổi trả hàng",0
"chăm sóc",0
"chăm sóc khách hàng",0
"thường xuyên",0
"kết nối",0
"hỏi thăm",0
"nhu cầu",0
"sử dụng",0
"một số",0
"một vài",0
"yêu cầu",0
"ứng viên",0
"báo cáo",0
"thực hiện",0
"hàng ngày",0
"cao đẳng",0
"đại học",0
"có ít nhất",0
"ít nhất",0
"tự tin",0
"sẳn sàn",0
"học hỏi",0
"tin thần",0
"phục vụ",0
"không giới hạn",0
"năng lực",0
"thử việc",0
"phúc lợi",0
"giữ gìn",0
"sản phẩm",0
"vệ sinh",0
"duy trì",0
"truyền tải",0
"hình ảnh",0
"sản phẩm",0
"phân công",0
"cửa hàng",0
"thời trang",0
"đãi ngộ",0
"chính sách",0
"suất sắc",0
"vị trí",0
"quản lý",0
"công ty",0
"bảo dưỡng",0
"sửa chữa",0
"phương tiện",0
"trang thiết bị",0
"công nghệ",0
"quy định",0
"tiêu chuẩn",0
"sản xuất",0
"hảng sản xuất",0
"tham gia",0
"giải quyết",0
"vấn đề",0
"phát sinh",0
"quy trình",0
"nhiệm vụ",0
"cấp trên",0
"trung cấp",0
"trung cấp nghề",0
"ưu tiên",0
"chăm chỉ",0
"sức khỏe",0
"công tác",0
"có thể",0
"chế độ",0
"quy định",0
"chế độ",0
"đãi ngộ",0
"dịch vụ",0
"tập đoàn",0
"sức khỏe",0
"chăm sóc",0
"công bằng",0
"văn minh",0
"lộ trình",0
"thăng tiến",0
"rõ ràng",0
"theo lệnh",0
"khỏi cần",0
"chẳng cần",0
"phải có",0
"tìm hiểu",0
"nghiên cứu",0
"giải đáp",0
"thắc mắc",0
"lĩnh vực",0
"quảng cáo",0
"phương thức",0
"trực tiếp",0
"số lượng",0
"theo dõi",0
"tiến trình",0
"thời gian",0
"đầy đủ",0
"trách nhiệm",0
"kinh nghiệm",0
"kỹ năng",0
"giao tiếp",0
"hòa đồng",0
"doanh số",0
"phụ thuộc",0
"nhà nước",0
"nghỉ phép",0
"nghỉ lễ",0
"du lịch",0
"nghỉ mát",0
"đánh giá",0
"ăng lực",0
"sáng kiến",0
"gắn kết",0
"chi tiết",0
"liên quan",0
"phỏng vấn",0
"buổi phỏng vấn",0
"trao đổi",0
"mối quan hệ",0
"lâu dài",0
"thị trường",0
"vật liệu",0
"đại lý",0
"trách nhiệm",0
"không cần",0
"làm việc",0
"ltại nhà",0
"thiết bị",0
"cơ bản",0
"phát hàng",0
"thể loại",0
"giải trí",0
"kinh doanh",0
"đăng ký",0
"tài khoản",0
"sự kiện",0
"đăng tải",0
"đảm bảo",0
"chất lượng",0
"đặt biệt",0
"hiệu suất",0
"mức thưởng",0
"thành công",0
"điều kiện",0
"phát triển",0
"ổn định",0
"nhanh chóng",0
"mức thưởng",0
"hình thức làm việc",0
"bán thời gian",0
"toàn thời gian",0
"làm việc",0
"minh bạch",0
"bầu không khí",0
"không khí",0
"nhận diện",0
"giao tiếp",0
"khả năng",0
"yêu thích",0
"cấp bật",0
"kịch bản",0
"đội ngũ vận hành",0
"đội ngũ",0
"vận hàng",0
"mạnh mẻ",0
"điều kiện",0
"sắp xếp",0
"phù hợp",0
"cá nhân",0
"vận hành",0
"cơ hội",0
"hoa hồng",0
"khóa học",0
"bài bản",0
"đào tạo",0
"môi trường",0
"sáng tạo",0
"nhiệt huyết",0
"sinh viên",0
"sinh viên mới ra trường",0
"sinh viên mới tốt nghiệp",0
"theo dõi",0
"vận đơn",0
"hàng tháng",0
"tôn trọng",0
"ứng tuyển",0
"giới tính",0
"độ tuổi",0
"mức lương",0
"ngày lễ tết",0
"ngày lễ",0
"vai trò",0
"bất động sản",0
"mục tiêu",0
"trọng tâm",0
"giải pháp",0
"đầu tư",0
"thuyết phục",0
"ký kết hợp đồng",0
"hợp đồng",0
"ký kết",0
"nâng cao",0
"chất lượng",0
"dịch vụ",0
"mở rộng",0
"mạng lưới",0
"tìm năng",0
"mục tiêu",0
"tính cách",0
"không ngừng",0
"thông qua",0
"bạn bè",0
"đồng nghiệp",0
"tiếp cận",0
"thân thiết",0
"tốt hơn",0
"công cụ",0
"hiệu quả",0
"lưu trữ",0
"dữ liệu",0
"chính xác",0
"kịp thời",0
"chương trình",0
"gia tăng",0
"hài lòng",0
"nội quy",0
"cập nhật",0
"hoạt động",0
"tuân thủ",0
"trở lên",0
"trường hợp",0
"tiềm năng",0
"ngân hàng",0
"tài chính",0
"hàng không",0
"nhà hàng",0
"mặt hàng",0
"cao cấp",0
"nghỉ dưỡng",0
"nhân sự",0
"cạnh tranh",0
"thường niên",0
"thân thiện",0
"chính trực",0
"kiến thức",0
"thương hiệu",0
"am hiểu",0
"sinh con",0
"kết hôn",0
"hệ sinh thái",0
"ưu đãi",0
"đặt quyền",0
"toàn diện",0
"tác phong",0
"từng cá nhân",0
"tận dụng",0
"người thân",0
"chứng khoán",0
"khách sạn",0
"khai thác",0
"góp ý",0
"cải thiện",0
"thương mại",0
"quản trị",0
"việt nam",0
"gương mặt",0
"giọng nói",0
"thiết lập",0
"đại diện",0
"chỉ đạo",0
"khác nhau",0
"tùy theo",0
"kế hoạch",0
"lập kế hoạch",0
"phân tích",0
"tăng trưởng",0
"dự án",0
"cấu trúc",0
"nội dung",0
"xây dựng",0
"chiến lược",0
"hành trình",0
"từ khóa",0
"thành thạo",0
"hiệu suất",0
"đề xuất",0
"tối ưu hóa",0
"hàng đầu",0
"đạt chuẩn",0
"tiêu chí",0
"tốc độ",0
"trải nghiệm",0
"người dùng",0
"cấu trúc",0
"thực thi",0
"giám sát",0
"phối hợp",0
"kết quả",0
"nền tảng",0
"mã nguồn",0
"khả năng",0
"cấu hình",0
"quản trị mạng",0
"bảo mật",0
"giao diện",0
"thưởng lễ",0
"hiệu suất",0
"thoải mái",0
"rộng rãi",0
"hằng năm",0
"tối ưu",0
"bền vững",0
"tùy biến",0
"tổng thể",0
"chuyên sâu",0
"xác định",0
"bám sát",0
"không phải",0
"nhận lương",0
"thu nhập",0
"tùy ca",0
"người quen",0
"việc làm",0
"việc làm thêm",0
"nhắn tin",0
"bán hàng",0
"hành động",0
"cụ thể",0
"ăn uống",0
"áp lực",0
"tổng hợp",0
"tổng hợp",0
"xử lí",0
"doanh thu",0
"công nợ",0
"tài chính",0
"lập báo cáo",0
"hồ sơ",0
"cố định",0
"xuất hàng",0
"hợp lý",0
"hợp lệ",0
"kiểm tra",0
"kế toán",0
"kế toán kho",0
"quản lí",0
"kho hàng",0
"luật kế toán",0
"luật thuế",0
"kết hợp",0
"khoa học",0
"nộp thuế",0
"lô hàng",0
"đặt cọc",0
"nộp phí",0
"nộp tiền",0
"việc nhẹ",0
"tiền công",0
"sản phẩm",0
"việc làm",0
"chỉ cần",0
"tự do",0
"trực tiếp",0
"kết nối",0
"hoàn toàn",0
"hoàn thành",0
"đóng phí",0
"kích hoạt",0
"quy mô",0
"không khó",0
"giá trị",0
"cộng tác viên",0
"chuyển tiền",0
"ứng tiền",0
"bảo lãnh",0
"đóng gói",0
"cung cấp",0
"bắt đầu",0
"kiếm tiền",0
"tiền công",0
"ngồi nhà",0
"nhà riêng",0
"ấn tượng",0
"chúng tôi",0
"đồng phục",0
"hoàn trả",0
"sau đó",0
"nộp cọc",0
"hoàn tiền",0
"ban đầu",0
"liên hệ",0
"thông báo",0
"nộp khoản phí",0
"xét duyệt",0
"xác thực",0
"nhà tuyển dụng",0
"nhập dữ liệu",0
"thu nhập",0
"kiểm hàng",0
"nạp phí",0
"kích hoạt",0
"sinh viên",0
"phát tờ rơi",0
"giờ giấc",0
"bằng cấp",0
"nhập liệu",0
"nhẹ nhàng",0
"dễ dàng",0
"tận tình",0
"linh hoạt",0
"đăng bài",0
"quảng cáo",0
"đơn giản",0
"gõ dữ liệu",0
"phụ giúp",0
"nghỉ hè",0
"nhập số liệu",0
"ràng buộc",0
"di chuyển",0
"trực tuyến",0
"vẩn có thể",0
"nói ngọng",0
"ca tối",0
"ca sáng",0
"ca đêm",0
"tình huống",0
"nhanh nhẹn",0
"cao cấp",0
"cao to",0
"trúng tuyển",0
"đóng tiền",0
"tương tác",0
"hợp tác",0
"gian hàng",0
"đơn hàng",0
"hấp dẫn",0
"tài liệu",0
"địa điểm",0
"xác minh",0
"danh tính",0
"cà phê",0
"chỉ còn",0
"điện tử",0
"thương mại điện tử",0
"nạp tiền",0
"tiền cọc",0
"sổ hộ khẩu",0
"trúng tuyển",0
"lệ phí",0
"xác nhận",0
"chuyển khoản",0
"lòng tin",0
"điện thoại thông minh",0
"thông minh",0
"ứng tiền",0
"chốt đơn hàng",0
"hướng dẫn",0
"nhanh tay",0
"mỗi ngày",0
"mỗi tháng",0
"mỗi năm",0
"ký hợp đồng",0
"tin cậy",0
"mật khẩu",0
"hệ thống",0
"giữ chổ",0
"thư mời",0
"chính thức",0
"hoàn thiện",0
"đầu tiên",0
"bỏ lỡ",0
"cuối cùng",0
"mở khóa",0
"truy cập",0
"giấy tờ tùy thân",0
"linh động",0
"gò bó",0
"thích hợp",0
"đăng tin",0
"chia sẻ",0
"bài viết",0
"miễn phí",0
"văn phòng",0
"đối chiếu",0
"sẵn sàng",0
"cống hiến",0
"gọi điện",0
"pháp luật",0
"ứng dụng",0
"triển khai",0
"ngôn ngữ lập trình",0
"ngôn ngữ",0
"lập trình",0
"sinh nhật",0
"xu hướng",0
"ý tưởng",0
"thẩm mỹ",0
"nha khoa",0
"quay phim",0
"chụp ảnh",0
"chứng từ",0
"thu chi",0
"nước ngoài",0
"tạm trú",0
"nội trú",0
"ngoại trú",0
"thủ tục",0
"mua sắm",0
"văn phòng phẩm",0
"chi phí",0
"xe cộ",0
"máy in",0
"thư từ",0
"giảm trừ",0
"gia cảnh",0
"soạn thảo",0
"chấm công",0
"tính chất",0
"đam mê",0
"nhạy bén",0
"tiếng anh",0
"lãnh đạo",0
"tinh thần",0
"truyền thông",0
"kiếm tiền",0
"khu vực",0
"trở thành",0
"khiếu nại",0
"độc lập",0
"chuyên môn",0
"tính năng",0
"ngân sách",0
"dòng tiền",0
"giáo dục",0
"xoay ca",0
"tham quan",0
"an ninh mạng",0
"an ninh",0
"nội bộ",0
"nói chuyện",0
"quy chế",0
"cam kết",0
"ngành nghề",0
"không gian",0
"hệ sinh thái",0
"hiện đại",0
"trẻ trung",0
"vi tính",0
"khẩn cấp",0
"chi nhánh",0
"xét tuyển",0
"xét duyệt",0
"chỉ tiêu",0
"phức tạp",0
"đặc biệt",0
"duy nhất",0
"khoản phí",0
"phát hành",0
"cấp phát",0
"điện thoại di động",0
"chiến dịch",0
"phản hồi",0
"bài đăng",0
"thu hút",0
"nhanh nhạy",0
"quảng bá",0
"danh sách",0
